strain_id,ref_genome_name
aalgi,Arenibacter_algicola_SMS7.fna
abie,2667527211.fna
atcc25922,GCF_000401755.1_Escherichia_coli_ATCC_25922_genomic.fna
atcc26499,2545824627.fna
atcc27126,GCA_000172635.fna
atlcs,2526164557.fna
azure,2600255073.fna
b2china,GCA_000230555.fna
bdim,GCF_004102925.1_ASM410292v1_genomic.fna
bermu,GCF_000153725.1_ASM15372v1_genomic.fna
bork,GCA_000009365.fna
bs11,GCA_000299995.fna
cip,GCA_000026085.fna
citrea,GCF_000238375.3_ASM23837v4_genomic.fna
crono,2667527511.fna
cstat,2623620535.fna
de,GCA_000020585.fna
de1,GCF_000310085.1_ASM31008v1_genomic.fna
dfl-12,GCA_000018145.fna
dies,GCA_000300005.fna
dss-3,GCA_000011965.fna
eryth,GCA_000010105.fna
exig,2562617200.fna
fagar,HG315671.fna
fang,2515154119.fna
fors,GCA_000060345.fna
hot1a3,2687453488.fna
hot5_b10,HOT5_B10.fna
hot5_b8,HOT5_B08.fna
hot5_c3,HOT5_C03.fna
hot5_e6,HOT5_E06.fna
hot5_f3,HOT5_F03.fna
hp15,650377991.fna
jeju,2684622907.fna
kordia,GCF_000154725.1_ASM15472v1_genomic.fna
koree,2524614539.fna
ksed,644736380.fna
kuro,2523533634.fna
luca8,Sulfitobacter_pseudonitzschiae_SMR1.fna
mmb1,2506210002.fna
mr1,GCF_000146165.2_ASM14616v2_genomic.fna
mre600,2622736468.fna
nitzsch,Sulfitobacter_pseudonitzschiae_SMR1.fna
och114,GCF_000014045.1_ASM1404v1_genomic.fna
owen,2508501098.fna
parctic,GCF_000482725.1_ASM48272v1_genomic.fna
pgall,GCA_000511385.fna
phalo,GCA_000230555.fna
pinhib,GCA_000154765.fna
plank,2548877138.fna
pr1red,GCF_000166275.1_ASM16627v1_genomic.fna
psych,GCF_000381745.1_ASM38174v1_genomic.fna
rbalt,637000236.fna
relong,GCF_000590925.1_ASM59092v1_genomic.fna
roseo,Roseovarius_mucosus_SMR3.fna
rsphaer,GCF_000012905.2_ASM1290v2_genomic.fna
salex,2523533559.fna
salin,2518645624.fna
sedthio,2609459601.fna
serr,2526164535.fna
sflavi,Sphingorhabdus_flavimaris_SMR4y.fna
shewden,2524023135.fna
simid,2519103097.fna
t2,GCF_000160775.2_ASM16077v2_genomic.fna
t6c,2606217322.fna
vcamp,GCA_000464435.fna
vnat,GCF_001456255.1_ASM145625v1_genomic.fna
vorax,GCF_004346105.1_ASM434610v1_genomic.fna
woodyi,GCA_000019525.fna
