strain_id,phylum,class,order,family,genus,species,strain_designation
atcc25922,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,Seattle 1946
atcc26499,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,mediterranea,MED64
atcc27126,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,macleodii,107
aalgi,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,algicola,SMS7
abie,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,abietaniphila,BKME-9
atlcs,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,atlanticus,HTCC 2559
azure,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,azureus,LC2-005
b2china,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,halotolerans,B2
bdim,Proteobacteria,Alphaproteobacteria,Rhizobiales,Caulobacteraceae,Brevundimonas,diminuta,PCI 818
bermu,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,bermudensis,HTCC2601
bork,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,borkumensis,SK2
bs11,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,macleodii,BS11
cip,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,haloplanktis,CIP 108707
citrea,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,citrea,
crono,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,universalis,
cstat,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,stationis,622
de,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,mediterranea,DE
de1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,mediterranea,DE1
dfl-12,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter,shibae,DFL 12
dies,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,dieselolei,B-5
dss-3,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,pomeroyi,DSS-3
eryth,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,erythropolis,
exig,Firmicutes,Bacilli,Bacillales,Bacilli,Exiguobacterium,oxidotolerans,T-2-2
fagar,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa,agariphila,KMM 3901
fang,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Fangia,hongkongensis,UST040201-002
fors,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,forsetii,KT0803
